locus_tag	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAUSA300_RS06910	27.5659240261124	0.355011817667511	0.329869276580217	0.249648458205207	0.45092329917011
SAUSA300_RS04495	387.861331643003	0.152233216048967	0.128014859280608	0.230426609299013	0.425133107537141
SAUSA300_RS02835	9135.91828309644	-0.148940265018629	0.11763461290438	0.200421161480143	0.384128552484587
SAUSA300_RS10525	119.175133055338	-8.8702736251791	1.29663422197638	1.54550087632377e-14	2.57519083517449e-13
SAUSA300_RS08215	1.73235619396558	0.0855522770081737	0.767906534738536	0.844943623097567	0.915326980568108
SAUSA300_RS01115	141.354797453216	-1.80460110258423	0.556116726558082	0.000204940650067622	0.0010155609165061
SAUSA300_RS01125	99.0671742709561	-2.09717974557747	0.643722579118129	0.00014794744713403	0.000761443810925337
SAUSA300_RS01970	5.91845827975104	-0.0673379682804454	0.58292728570408	0.880610852330605	0.936055190197432
SAUSA300_RS03365	103.426923813923	-0.440402297472535	0.204533911590685	0.0270886968708139	0.07824319161169
SAUSA300_RS02070	3534.3479594717	0.521737703614191	0.0994628970663907	1.34531588382009e-07	1.0674440911501e-06
SAUSA300_RS02930	212.062343405151	0.456681047295663	0.158675360600441	0.00348451196318864	0.0130290447319228
SAUSA300_RS01095	31.6929701489242	-0.400527802902461	0.32557423654415	0.187632712378761	0.366752823251687
SAUSA300_RS01150	67.3372600499273	-0.107863068851108	0.228888080019348	0.625612921679385	0.792343966364485
SAUSA300_RS08865	1298.0640241623	0.0420127444011766	0.145998012687237	0.770954849754694	0.878361380105134
SAUSA300_RS08750	16.1103908352949	-0.84466267759707	0.450958441061495	0.0335468936725978	0.0938873099971017
SAUSA300_RS09920	14.1958912634143	-0.201628454855678	0.434722282181254	0.598975460689262	0.771806949346338
SAUSA300_RS12950	3682.00970050515	-2.96183340887659	0.141956841168387	1.31504487301534e-97	2.19119351966181e-95
SAUSA300_RS05930	53.7556687731903	-1.32834667091401	0.306188940744114	4.96940276127057e-06	3.26315954717915e-05
SAUSA300_RS05160	1425.50784233773	-0.11608393868648	0.116547885083301	0.314237629557671	0.524253767459795
SAUSA300_RS04400	454.747265271745	-4.41233692274671	0.187025397115628	6.76441548594996e-124	3.00565528092376e-121
SAUSA300_RS04665	1671.11714544964	-1.66736387949944	0.196495961327352	5.33109361346138e-18	1.26899067620429e-16
SAUSA300_RS05615	496.351803674516	-0.193511227613736	0.165515727272169	0.233748654510704	0.430071713544193
SAUSA300_RS10750	7.00557196988553	-6.26737209623979	2.55445715466552	4.06741567955828e-06	2.71093255042559e-05
SAUSA300_RS09945	284.678390218843	-0.353300504502062	0.182486222209118	0.0478904609709409	0.126162024652696
